First,Last,Hire Date,Employee Number,City,Department
Alea,Lamb,3/27/21,16930421 2732,Paredones,Public Relations
Rajah,Rutledge,01-04-2021,16760602 0746,Dunedin,Customer Service
Aladdin,Meyer,05-03-2020,16680819 7807,Gijzelbrechtegem,Finances
Sasha,Rosario,2/23/20,16170910 9076,Mechelen-aan-de-Maas,Sales and Marketing
Illana,Cain,11/20/20,16300424 4483,Sint-Agatha-Berchem,Customer Service
Taylor,Stein,3/30/21,16280109 0891,West Ham,Sales and Marketing
Colin,Norton,09-06-2021,16180610 0762,Mathura,Customer Service
Odette,Sears,10-01-2021,16430328 4519,Barra do Corda,Accounting
Jamal,Combs,12/18/20,16391111 1783,Rebecq,Finances
Lucius,Calhoun,4/23/20,16270521 3870,Limelette,Customer Service
Ciaran,Preston,11-10-2020,16560430 6703,Saint-Marc,Finances
Sean,Kirby,12/19/20,16111205 4331,Maiolati Spontini,Quality Assurance
Montana,Stafford,10/14/21,16310903 2742,Paita,Customer Service
Carissa,Mcmillan,08-04-2021,16491210 9214,Bolton,Quality Assurance
Olga,Petty,4/25/21,16630822 8391,Collines-de-l'Outaouais,Payroll
Lara,Jones,9/24/20,16120215 3217,Solok,Customer Relations
Silas,Dale,1/30/21,16630909 4545,Bruck an der Mur,Advertising
Byron,Rowe,5/26/21,16450519 7865,Jhang,Payroll
Nicole,Golden,08-07-2021,16250207 4731,Heusden,Public Relations
Zenaida,Vega,11/30/20,16460724 1926,Kalininets,Tech Support
Calvin,Burton,08-02-2021,16161013 7497,Southwell,Accounting
Tanner,Kaufman,4/13/20,16021221 6006,Cassano Spinola,Legal Department
Prescott,Bowman,02-09-2021,16060114 2847,Le Mans,Customer Service
